,企业代号,firm_code,income,cost,income_invalid,cost_invalid,income_std,cost_std,reputation
0,E124,E124,674959.3883803565,51462.62679114247,742414.2588144325,63694.9205216581,398838.5384867901,127645.63536084689,0
1,E125,E125,682037.2206449403,52451.80276890191,728559.8009302323,65095.91767117829,381193.5665732945,125300.44895632677,0
2,E126,E126,411939.15966772096,218977.60231067968,429139.8924206354,252984.3783333333,399765.38482432236,298989.4113575888,0
3,E127,E127,166992.30392673748,1156.392176966292,367965.1211475415,3305.4649999999997,233420.20634364669,9393.52416807205,1
4,E128,E128,208777.04719207203,2848.7660912571864,141411.90074468084,15616.093750000005,288227.4796406521,13227.770190288338,1
5,E129,E129,62691.76464389104,12841.793093792145,68211.28146226419,43700.67866834174,40587.109190542375,61516.36673581294,0
6,E130,E130,83298.01126419472,23197.295305795757,85105.58754098359,59771.221171875004,29707.850255742625,60875.78192844518,2
7,E131,E131,67511.795863739,17059.601676114547,83889.7831380753,21268.547799999986,139906.65792064453,65363.738014637456,2
8,E132,E132,122578.81968053247,12685.499352475324,144141.76395683427,40592.779174311916,152927.19036552397,33707.37257663577,0
9,E133,E133,811821.5312857147,24458.19129455912,883466.0466666663,48269.50086956522,347869.7292191141,74628.49248317593,1
10,E134,E134,43321.153432099236,2361.0249399038557,38295.71038297874,4627.705483870967,36377.552659208246,30643.604063301023,2
11,E135,E135,369312.14855585794,8628.47890762204,462382.7826086957,23033.115454545463,403383.91255285987,36237.7766471685,0
12,E136,E136,90850.61165109038,89051.3260186628,99656.08225352115,98901.85,12775.285357102308,14971.613177132736,1
13,E137,E137,620192.0905627703,32877.61366762139,681902.283478261,89591.79264285718,365815.60593800904,91566.12227919784,0
14,E138,E138,74935.19182070876,40596.997519531214,63026.32584905661,40664.6075,25242.497394185717,70444.43813537726,1
15,E139,E139,15375.012481775877,2648.770328227573,28022.898303425816,30728.142,20322.033156196452,7007.636793964412,0
16,E140,E140,251279.6598484851,3423.886465645103,359282.9354621846,10578.53725490196,320804.8386241853,16719.686179953507,1
17,E141,E141,35750.32934051147,28870.308879882057,30427.893900709212,30588.11839285713,34491.92587557503,39491.97668326933,2
18,E142,E142,71206.20764275214,70069.10633522707,58069.14336363636,78118.17869565221,32471.715341941737,150377.62652912692,1
19,E143,E143,82292.87028207393,9139.204319642326,87643.5733333333,13315.644814814814,102372.26115676084,28159.43847612245,1
20,E144,E144,83669.3218795176,3558.8320912079043,87263.3746086957,4712.328181818181,41319.27850072908,31068.745437301288,2
21,E145,E145,30585.254958376798,38743.74580932792,32178.476721311454,33365.80833333333,35232.50765944113,109493.26524371801,1
22,E146,E146,92592.23759180777,38807.51728391122,94279.87234693879,136888.24662499997,70893.37545484441,139270.5370175107,1
23,E147,E147,81101.89415298251,26344.049651971487,70480.46754385965,23464.743685567028,28671.43791073128,72164.92329120374,1
24,E148,E148,298400.6413703701,56496.957495107585,364946.1472727272,57460.978857142865,224654.0416762128,180555.6712081201,2
25,E149,E149,88265.56779424645,1988.8433333333344,87545.23708860758,1068.7975000000001,32168.219124869032,8024.729192802971,1
26,E150,E150,278678.96375609736,25461.272138922795,212805.96481481474,23910.208558558563,276547.5628367979,65672.99141483875,0
27,E151,E151,731579.6639285717,13175.31075544173,735082.7425,65093.00999999997,339501.76739781094,76039.74596065818,3
28,E152,E152,80384.22579973096,7073.404747474738,60995.14837837837,11107.686190476186,28832.7218848487,14465.81897208025,2
29,E153,E153,860799.1705714293,1238.258591549295,836674.4467999991,0.0,234323.83044855596,2716.3228842280223,2
30,E154,E154,41001.04588656381,46314.16899134338,31420.974953271052,46431.78769230769,41805.79971142708,125635.07166965891,1
31,E155,E155,75211.27940669861,186544.06949748754,66521.08105263159,139635.17842105267,24982.573322734355,307867.8838657253,1
32,E156,E156,400696.37033854256,3618.0152364864857,463953.64299999975,11940.895263157896,512236.52807052253,14175.968246658924,2
33,E157,E157,73111.683834422,32546.87472146751,83490.32333333335,65745.5869135802,51666.911929431786,59882.68436722726,1
34,E158,E158,92108.28799767274,57037.03927206551,71925.37094488188,81087.15826666665,15616.88375242003,185769.07721451734,1
35,E159,E159,442797.3029613733,14809.671786672681,195462.90600000002,24436.589622641528,367819.5667005776,51445.295738941,0
36,E160,E160,79187.4444136454,35374.460049469766,81347.91262877446,44022.909496402885,40180.7876242321,56607.83203969991,1
37,E161,E161,646639.0708823537,3576.5315447154485,618000.573333333,63163.104999999996,414472.7897528923,20358.269196014684,1
38,E162,E162,290788.02373673074,13596.52318126269,372996.3735000001,38895.3200184162,442773.5661105579,73054.89575843648,1
39,E163,E163,140833.67081896568,29160.41558229794,191002.879390244,73501.97701754385,213055.54383057536,97930.27959053319,1
40,E164,E164,82470.50015829352,17226.177296901747,84187.77591346158,47520.28852631577,29161.039007953706,38827.458702826756,0
41,E165,E165,48687.030788576594,20960.841335905545,49284.943346153785,39727.08977528092,43223.8259115412,69918.28006676758,0
42,E166,E166,55560.96943450354,17426.44875,60778.52537142859,44566.96333333334,72991.93112396708,29997.816983459576,1
43,E167,E167,25770.750693666625,19616.70362183559,27791.040474777434,23948.572026431695,37606.64181928355,44759.25897307207,2
44,E168,E168,226089.98223057625,2953.501149674599,171917.36,0.0,276127.2991005883,10016.938167226057,0
45,E169,E169,81440.7398226955,12958.405873343736,81158.17787500004,30059.459777777796,32955.55544537136,60827.69469054859,1
46,E170,E170,91301.54660305352,25817.410104250197,90191.305,60071.74277108432,30439.382014425428,90465.44109832808,1
47,E171,E171,14887.960654498867,24797.882144816173,21383.114767676776,13131.078500000001,27326.683336099773,63427.72713248958,2
48,E172,E172,63965.21485055544,88935.29995689649,51011.18872549018,61176.90571428572,32922.36905821129,93671.28377012209,1
49,E173,E173,45078.61804219431,80624.98509132408,52044.56557251909,93512.4205555556,36438.80492647343,130579.71698403897,1
50,E174,E174,79398.98680313598,32614.068464855456,75559.32504950494,78378.68599999999,30101.61988924637,54937.81773070674,1
